event_id,event_date,event_class,significance,event_name,event_scale,affected_admin1,affected_consumer_class,direct_power_effect,quantitative_impact,event_start_local,event_end_local,time_precision,confound_scope,analysis_relevance,confidence,source_authority,source_url,source_note,explanation_zh,event_class_norm,time_confidence,source_origin,source_channel,source_grade,evidence_rank,schema_version
KE20241111_PREVENTIVE_EMERGENCY,2024-11-11,preventive_emergency,high,导弹威胁下多州预防性紧急停电,multi_oblast,multiple oblasts; Cherkasy exact start recovered,ALL,preventive_emergency_outage,Preventive emergency outages introduced in multiple regions; Cherkasy exact start 06:31 is documented.,2024-11-11 06:31:00+02:00,,one-region exact start; broader end approximate,regional,"Treat as preventive emergency intervention, not ordinary planned rotation.",medium,official local government + Ukrenergo reporting,https://smila-rada.gov.ua/calendar-created/month/2024-11,Do not assign Cherkasy's minute-level timing to every affected oblast.,"Treat as preventive emergency intervention, not ordinary planned rotation.【置信度：medium】",emergency_dispatch,mixed_exact,TSO,other,secondary,3,v3.0
KE20241117_MAJOR_ATTACK,2024-11-17,mass_energy_attack,critical,冬季前大规模能源系统攻击并触发全国次日配给,national_system,multiple regions nationwide; especially Odesa and several western/southeastern oblasts,ALL,emergency_outages_and_followon_rationing,Largest strike in almost three months; emergency cuts in numerous regions; Odesa experienced roughly 24 hours without power; nationwide rationing announced for 18 Nov.,,,date-level,national_system,Major structural break into winter attack/recovery regime.,high,Reuters-syndicated,https://www.yahoo.com/news/ukraine-brings-back-long-rolling-083344996.html,Keep the Poltava 06:53–10:55 GAV as a precise local execution row; do not infer exact timing nationwide.,Major structural break into winter attack/recovery regime.【置信度：high】,attack,coarse,other,other,secondary,3,v3.0
KE20241128_MAJOR_ATTACK,2024-11-28,mass_energy_attack,critical,大规模能源系统攻击导致全国紧急限电,national_system,Volyn Oblast|Rivne Oblast|Lviv Oblast|Odesa Oblast|Dnipropetrovsk Oblast|Zaporizhzhia Oblast|other affected regions,ALL,emergency_outages,"Severe grid damage with emergency power cuts; emergency work continued in Odesa, Rivne and Volyn after initial restoration elsewhere.",,,date-level,national_system,Original scheduled household/GOP windows were overridden and strengthened during the day.,high,Reuters-syndicated,https://www.investing.com/news/world-news/blasts-shake-key-ukraine-cities-poland-scrambles-air-force-after-russian-missile-attack-3726899,Treat same-day schedule rows as emergency-overridden.,Original scheduled household/GOP windows were overridden and strengthened during the day.【置信度：high】,attack,coarse,other,other,secondary,3,v3.0
KE20241213_MAJOR_ATTACK,2024-12-13,mass_energy_attack,critical,2024年第12次大规模能源攻击,national_system,multiple regions nationwide,ALL,extended_rolling_outages,93 missiles and nearly 200 drones reported; power facilities damaged in multiple regions; some consumers faced outages up to about 11 hours.,,,date-level,national_system,Scheduled queue levels on the day became emergency-driven; exact escalation minute should not be invented.,high,Reuters,https://www.reuters.com/world/europe/russia-launches-large-scale-missile-attack-ukraine-energy-facilities-kyiv-says-2024-12-13/,Reuters describes it as the 12th major strike on the energy system in 2024.,Scheduled queue levels on the day became emergency-driven; exact escalation minute should not be invented.【置信度：high】,attack,coarse,other,other,secondary,3,v3.0
KE20241223_EMERGENCY_REPAIR,2024-12-23,emergency_system_repair,high,战损设备紧急更换导致多州14:10起紧急停电,multi_oblast,multiple unspecified oblasts,ALL,emergency_outage,Emergency outages introduced from 14:10 because shelling-damaged equipment required urgent replacement and generation capacity was lost; repair expected around 17:00.,2024-12-23 14:10:00+02:00,2024-12-23 17:00:00+02:00,start exact / end estimated,regional,"The endpoint is a repair estimate, not confirmed restoration for every consumer.",high,Ukrenergo,https://t.me/s/ukrenergo?before=3601,Keep status as emergency; do not convert 17:00 into an address-level actual_end.,"The endpoint is a repair estimate, not confirmed restoration for every consumer.【置信度：high】",emergency_dispatch,mixed_exact,TSO,other,secondary,3,v3.0
KE20241225_MAJOR_ATTACK,2024-12-25,mass_energy_attack,critical,圣诞节大规模能源系统攻击,national_system,multiple regions nationwide; Kharkiv especially affected,ALL,emergency_blackouts_and_heat_loss,"More than 70 missiles and over 100 drones reported; blackouts in Kyiv and elsewhere; over 500,000 people lost heating in Kharkiv.",,,date-level,national_system,Strong holiday + attack confounding; planned queue count cannot be interpreted independently of the attack.,high,Reuters + UN,https://www.reuters.com/world/europe/least-3-people-injured-russian-missile-attack-ukraines-kharkiv-mayor-says-2024-12-25/,UN also reports emergency cuts nationwide and severe damage to thermal/hydroelectric generation.,Strong holiday + attack confounding; planned queue count cannot be interpreted independently of the attack.【置信度：high】,attack,coarse,other,other,secondary,3,v3.0
KE20250115_MAJOR_ATTACK,2025-01-15,mass_energy_attack,critical,2025-01-15大规模能源攻击并在7州启用紧急停电,multi_oblast_system,Kharkiv Oblast|Sumy Oblast|Poltava Oblast|Donetsk Oblast|Dnipropetrovsk Oblast|Zaporizhzhia Oblast|Kirovohrad Oblast,ALL,emergency_outage,Emergency outage schedules used in seven oblasts; Ukrenergo states all were cancelled by 09:00. Poltava exact local command window: 07:07–07:55.,,2025-01-15 09:00:00+02:00,multi-region end exact / starts vary,regional,Do not use Reuters' initial six-region list as final scope; Ukrenergo's later official update explicitly lists seven including Donetsk.,high,Ukrenergo,https://t.me/s/Ukrenergo?before=3646,Official Ukrenergo later-day state is preferred over earlier breaking-news region count.,Do not use Reuters' initial six-region list as final scope; Ukrenergo's later official update explicitly lists seven including Donetsk.【置信度：high】,attack,mixed_exact,TSO,other,secondary,3,v3.0
KE20240830_MULTI_REGION_EMERGENCY,2024-08-30,multi_region_emergency_dispatch,critical,8月26日大规模袭击恢复期内再次出现17地紧急停电,Kyiv City + 16 oblasts,Kyiv City|Kyiv Oblast|Cherkasy Oblast|Zhytomyr Oblast|Chernihiv Oblast|Kharkiv Oblast|Sumy Oblast|Poltava Oblast|Dnipropetrovsk Oblast|Kirovohrad Oblast|Zaporizhzhia Oblast|Vinnytsia Oblast|Khmelnytskyi Oblast|Chernivtsi Oblast|Kherson Oblast|Mykolaiv Oblast|Odesa Oblast,ALL,emergency_override_of_planned_schedules,Ukrenergo said prior planned schedules temporarily did not apply in Kyiv and 16 oblasts; emergency outages were introduced because of the difficult system situation after the 26-Aug attack and high demand.,,,morning/date-level,multi_region,Treat planned queue rows in affected regions as temporarily overridden; do not model the entire day as one continuous blackout.,high,Ukrenergo statement via dated media,https://ua-energy.org/uk/posts/oblenerho-v-16-rehionakh-vrantsi-30-serpnia-zastosuvaly-avariini-vidkliuchennia,Distinct emergency re-escalation during the post-26-Aug recovery regime.,Treat planned queue rows in affected regions as temporarily overridden; do not model the entire day as one continuous blackout.【置信度：high】,emergency_dispatch,coarse,TSO,media_relay,near_primary,4,v3.0
KE20240903_MULTI_REGION_EMERGENCY,2024-09-03,multi_region_emergency_dispatch,critical,基辅及14州晚间紧急停电覆盖既有计划,Kyiv City + 14 oblasts,Kyiv City|Kyiv Oblast|Zhytomyr Oblast|Cherkasy Oblast|Chernihiv Oblast|Odesa Oblast|Mykolaiv Oblast|Kherson Oblast|Dnipropetrovsk Oblast|Kirovohrad Oblast|Zaporizhzhia Oblast|Kharkiv Oblast|Sumy Oblast|Poltava Oblast|Vinnytsia Oblast,ALL,emergency_override_of_planned_schedules,Ukrenergo said previously published schedules temporarily did not apply; emergency outages were later cancelled and the affected regions returned to approved schedules.,2024-09-03 19:16:00+03:00,2024-09-03 22:16:00+03:00,national reported window; DSO timings vary,multi_region,Minute-level DSO transitions should override the national planned schedule only for affected regions/time windows.,high,Ukrenergo statement via dated media,https://www.radiosvoboda.org/a/news-ukrenerho-avariyni-vymknennia/33104512.html,"19:16 is the dated national update time, not necessarily every DSO's effective command time; cancellation widely reported by 22:16.",Minute-level DSO transitions should override the national planned schedule only for affected regions/time windows.【置信度：high】,emergency_dispatch,reported_state,TSO,media_relay,near_primary,4,v3.0
KE20240921_SHOSTKA_ATTACK,2024-09-21,regional_energy_attack,high,Shostka能源设施遭袭并造成城市大范围断电,Shostka district / Sumy Oblast,Sumy Oblast,ALL,physical_grid_outage,Energy facilities in Shostka district were attacked; most of Shostka reportedly lost electricity and emergency restoration followed.,,,late-evening/date-level,regional,A national q0/planned state cannot be interpreted as physical continuity in Shostka.,medium,regional authorities / dated media,https://suspilne.media/sumy/,"Exact attack-to-restoration interval remains insufficiently reconstructed; kept as a key event, not a minute execution interval.",A national q0/planned state cannot be interpreted as physical continuity in Shostka.【置信度：medium】,attack,coarse,media,media_relay,secondary,3,v3.0
KE20240927_SUMY_SHORT_EMERGENCY,2024-09-27,regional_emergency_dispatch,high,Sumy 32分钟SGAV/GAV短时紧急停电,Sumy Oblast,Sumy Oblast,ALL,short_emergency_override,"At 09:25 full SGAV was introduced in Shostka, Romny and Konotop districts; all 10 GAV queues were also activated; both GAV and SGAV were cancelled at 09:57.",2024-09-27 09:25:00+03:00,2024-09-27 09:57:00+03:00,exact_effective,regional,Important for hourly/minute-level network data even though the national daily schedule may show no planned restriction.,high,Sumyoblenergo via dated local media,https://debaty.sumy.ua/news/na-sumshhini-avarijni-vidklyuchennya-elektroenergiyi,One of the clearest short emergency override events in the study window.,Important for hourly/minute-level network data even though the national daily schedule may show no planned restriction.【置信度：high】,emergency_dispatch,exact_public,DSO,media_relay,near_primary,4,v3.0
KE20241003_MULTI_REGION_ATTACK_OUTAGES,2024-10-03,multi_region_energy_attack,high,夜间无人机袭击能源设施后多州物理断电并触发Kharkiv/Poltava GAV,multi_oblast,Kharkiv Oblast|Poltava Oblast|Dnipropetrovsk Oblast|Odesa Oblast|Sumy Oblast|Chernihiv Oblast|Donetsk Oblast,ALL,physical_outages_plus_emergency_dispatch,Ukrenergo reported new outages after overnight drone strikes; emergency outages were introduced in parts of Kharkiv and Poltava from 10:15 and cancelled around noon.,2024-10-03 10:15:00+03:00,,GAV start exact; broader physical outages date-level,multi_region,Separates attack-driven physical outages from the national no-planned-restriction state.,high,Ukrenergo statement via dated media,https://www.radiosvoboda.org/a/news-ukrenerho-obstrily-vidklyuchennya-elekroenerhiyi/33144597.html,Kharkiv/Poltava transition is represented more precisely in execution_events.,Separates attack-driven physical outages from the national no-planned-restriction state.【置信度：high】,attack,mixed_exact,TSO,media_relay,near_primary,4,v3.0
KE20241004_SUMY_POLTAVA_GAV,2024-10-04,post_attack_emergency_dispatch,high,Sumy/Poltava因前夜袭击后主网过载风险启用GAV,two_oblasts,Sumy Oblast|Poltava Oblast,ALL,emergency_outage,Emergency outage schedules introduced at 10:25 to avoid overloading main-grid equipment after the previous night's drone attack; Sumy cancelled GAV at 19:00.,2024-10-04 10:25:00+03:00,2024-10-04 19:00:00+03:00,Sumy exact; Poltava end may differ,regional,National q0 is usable only outside the affected regions.,high,Ukrenergo + Sumyoblenergo via dated media,https://fakty.com.ua/ua/ukraine/20241004-avarijni-vidklyuchennya-u-sumskij-i-poltavskij-oblastyah-vymusheno-vymknuly-svitlo/,19:00 cancellation is confirmed specifically for Sumy.,National q0 is usable only outside the affected regions.【置信度：high】,attack,mixed_exact,TSO,media_relay,near_primary,4,v3.0
KE20241019_SHOSTKA_ATTACK,2024-10-19,regional_energy_attack,critical,Shostka能源设施遭袭，9万+用户断电并启动轮换GAV,Sumy Oblast / Shostka district,Sumy Oblast,ALL,large_physical_outage_and_emergency_dispatch,"More than 90,000 consumers initially lost power in Shostka district; over 66,000 remained without electricity at 07:00. GAV queues 1–5 activated at 08:57 and rotated to 6–10 at 10:57.",,,physical outage date-level; GAV actions exact,regional,Large physical blackout plus managed emergency load shedding; do not collapse them into one mechanism.,high,Sumyoblenergo via dated media,https://debaty.sumy.ua/news/u-shostkinskomu-rajoni-vnaslidok-dronovoyi-ataki-bulo-znestrumleno-ponad-90-tisyach-spozhivachiv,GAV transitions are in execution_event_registry.,Large physical blackout plus managed emergency load shedding; do not collapse them into one mechanism.【置信度：high】,attack,mixed_exact,DSO,media_relay,near_primary,4,v3.0
KE20241020_ROMNY_ATTACK,2024-10-20,regional_energy_attack,critical,Romny能源设施遭袭，3.7万+用户物理断电并于当日恢复,Romny district / Sumy Oblast,Sumy Oblast,ALL,physical_grid_outage,"More than 37,000 consumers in Romny district (104 settlements in Sumyoblenergo's report) were temporarily de-energized after a strike on an energy facility; all consumers were reported restored by 17:59.",,2024-10-20 17:59:00+03:00,attack morning; restoration reported_by,regional,Physical outage/recovery event independent of scheduled rotation.,high,Sumyoblenergo / district administration via dated media,https://debaty.sumy.ua/news/cherez-vranishnij-vorozhij-udar-na-sumshhini-timchasovo-znestrumleni-ponad-37-tisyach-spozhivachiv,"17:59 is a public report confirming full restoration, not necessarily the last switching instant.",Physical outage/recovery event independent of scheduled rotation.【置信度：high】,attack,reported_state,DSO,media_relay,near_primary,4,v3.0
KE20241022_SUMY_ATTACK,2024-10-22,regional_energy_attack,high,Sumy 10月22日同日两轮 GAV：早间全队列→16:00恢复GPV→18:57再启GAV,Sumy Oblast,Sumy Oblast,ALL,physical_outage_plus_emergency_dispatch,07:38 add q5–6; 08:51 all GAV queues active; 16:00 reconnect all GAV-disconnected consumers and switch to GPV 2.5 queues; 18:57 second GAV q1–2 starts.,,,07:38/08:51/16:00/18:57 exact public action times,regional,Same local day contains two distinct emergency episodes separated by an exact 16:00 return to GPV. Do not model as one open GAV interval.,high,Sumyoblenergo via dated media,https://debaty.sumy.ua/news/na-teritoriyi-sumshhini-vvedeni-grafiki-avarijnih-vidklyuchen,Keep end open until an exact cancellation record is recovered.,Same local day contains two distinct emergency episodes separated by an exact 16:00 return to GPV. Do not model as one open GAV interval.【置信度：high】,attack,mixed_exact,DSO,media_relay,near_primary,4,v3.0
KE20241028_SUMY_POLTAVA_ATTACK,2024-10-28,regional_energy_attack,critical,Sumy/Poltava关键能源基础设施遭袭并启用GAV,two_oblasts,Sumy Oblast|Poltava Oblast,ALL,physical_outage_plus_emergency_dispatch,"More than 16,000 consumers were already without power in Sumy after attacks. GAV began at 09:06 in Sumy; Sumyoblenergo reported cancellation by 15:09. Poltava also activated GAV in affected districts.",2024-10-28 09:06:00+02:00,2024-10-28 15:09:00+02:00,Sumy start exact; cancellation reported_at,regional,High-value regional emergency event during a nominally lower-restriction autumn period.,high,Sumyoblenergo / Ministry reporting,https://debaty.sumy.ua/news/na-sumshhini-vvedeni-grafiki-avarijnih-vidklyuchen-6,15:09 is publication time of cancellation statement; store as reported_at/cancelled_by in execution registry.,High-value regional emergency event during a nominally lower-restriction autumn period.【置信度：high】,attack,mixed_exact,DSO,other,secondary,3,v3.0
KE20240829_SUMY_EMERGENCY,2024-08-29,regional_emergency_dispatch,high,Sumy恢复期再次启用GAV并与GPV并行,regional,Sumy Oblast,ALL,emergency_override_plus_planned_rotation,By 15:33 an additional GAV queue was introduced while GPV also remained active; full start/end chain is incomplete.,,,partial_exact,regional,Do not infer physical supply only from national GPV during this period.,high,official_dso_archive,https://t.me/s/SumyEnergo?before=1256,Exact q2 addition time is recovered; earlier q1 start and final GAV cancellation remain gaps.,Do not infer physical supply only from national GPV during this period.【置信度：high】,emergency_dispatch,mixed_exact,DSO,direct,primary,5,v3.0
KE20240901_SUMY_EMERGENCY,2024-09-01,regional_emergency_dispatch,high,Sumy晚间GAV覆盖计划轮换,regional,Sumy Oblast,ALL,emergency_override,GAV q1/q2 introduced at 20:36 while GPV continued; national reporting confirms emergency regime ended by about 22:53.,2024-09-01 20:36:00+03:00,2024-09-01 22:53:00+03:00,start_exact_end_upper_bound,regional,Treat GPV-based exposure in Sumy as emergency-confounded for this evening window.,high,Sumyoblenergo + TSO/public broadcaster,https://t.me/s/SumyEnergo?before=1294,"22:53 is an upper bound, not Sumy-local exact cancellation.",Treat GPV-based exposure in Sumy as emergency-confounded for this evening window.【置信度：high】,emergency_dispatch,mixed_exact,TSO,other,secondary,3,v3.0
KE20240829_KHARKIV_SHELLING_OUTAGE,2024-08-29,local_attack_grid_outage,high,Kharkiv夜间炮击导致部分城区物理断电,city_partial,Kharkiv Oblast,ALL,physical_grid_outage,Kharkivoblenergo confirmed parts of the city lost power after overnight shelling; restoration crews were working by 07:17.,,,reported_state,local,Physical attack outage must be separated from GPV/GAV schedule exposure.,high,Kharkivoblenergo via dated local media,https://www.objectiv.tv/uk/objectively/2024/08/29/harkiv-chastkovo-znestrumlenij-cherez-obstril-oblenergo/,No exact outage onset/full restoration time.,Physical attack outage must be separated from GPV/GAV schedule exposure.【置信度：high】,attack,reported_state,DSO,media_relay,near_primary,4,v3.0
KE20241213_ODESSA_NETWORK_OVERLOAD,2024-12-13,post_attack_network_overload,critical,Odesa攻击后网络过载触发局部紧急停电,Odesa city + Odesa district,Odesa Oblast,ALL,emergency_override,DTEK introduced emergency outages in Odesa city and Odesa district after the major attack because of network overload; return to stabilization confirmed by 09:04 next morning.,,2024-12-14 09:04:00+02:00,start_reported/end_upper_bound,regional,National queue_count on 13 Dec is insufficient for Odesa; local emergency regime overrode the stabilization schedule.,high,DTEK via Suspilne/dated media,https://suspilne.media/odesa/901461-v-odesi-pid-cas-povitranoi-trivogi-prolunav-vibuh-2/,Parent event: KE20241213_MAJOR_ATTACK.,National queue_count on 13 Dec is insufficient for Odesa; local emergency regime overrode the stabilization schedule.【置信度：high】,attack,reported_state,DSO,media_relay,near_primary,4,v3.0
KE20241226_SUMY_EMERGENCY,2024-12-26,post_attack_emergency_dispatch,high,Sumy圣诞攻击恢复期短时GAV,regional,Sumy Oblast,ALL,short_emergency_override,"GAV q1/q2 introduced at 06:37 and cancelled at 08:00, when 1.5 GPV queues started.",2024-12-26 06:37:00+02:00,2024-12-26 08:00:00+02:00,exact_effective,regional,A clean minute-level emergency-to-planned-regime transition.,high,official_dso_archive,https://t.me/s/SumyEnergo?before=1659,Broad archive locator requires snapshot for publication.,A clean minute-level emergency-to-planned-regime transition.【置信度：high】,attack,exact_public,DSO,direct,primary,5,v3.0
KE20241228_THREE_REGION_EMERGENCY,2024-12-28,multi_region_emergency_dispatch,high,Sumy/Poltava/Dnipropetrovsk紧急停电覆盖常规图表,multi_oblast,Sumy Oblast|Poltava Oblast|Dnipropetrovsk Oblast,ALL,emergency_override,Sumy and Poltava announced GAV 15:00–18:00; DTEK Dnipro Grids reported emergency outages and normal schedules inactive in Dnipropetrovsk.,2024-12-28 15:00:00+02:00,,mixed_regional,multi_region,Do not use ordinary GPV schedule exposure for affected regions during the emergency window.,high,DSO statements via dated local media,https://debaty.sumy.ua/news/na-sumshhini-diyut-avarijni-vidklyuchennya-svitla,Dnipropetrovsk emergency state independently documented at 15:21; exact cancellation not recovered.,Do not use ordinary GPV schedule exposure for affected regions during the emergency window.【置信度：high】,emergency_dispatch,mixed_or_unknown,DSO,media_relay,near_primary,4,v3.0
KE20240604_MULTI_REGION_EMERGENCY,2024-06-04,multi_region_emergency_dispatch,critical,6月4日多轮GAV/SGAV覆盖计划限电,multi_oblast,Kharkiv Oblast|Sumy Oblast|Kyiv City|Kyiv Oblast|Donetsk Oblast|Zhytomyr Oblast|Mykolaiv Oblast|Khmelnytskyi Oblast|Ivano-Frankivsk Oblast|Rivne Oblast|Zakarpattia Oblast|Ternopil Oblast|Vinnytsia Oblast|Volyn Oblast|Lviv Oblast|Cherkasy Oblast|Kirovohrad Oblast,ALL,multiple_emergency_overrides,"Ukrenergo used several emergency-dispatch rounds because consumption exceeded regional limits: afternoon GAV/SGAV with cancellation at 15:30, then evening regional GAV with final cancellation at 00:57 on 5 June.",2024-06-04 14:21:00+03:00,2024-06-05 00:57:00+03:00,region-specific exact action times,multi_region,Day-level planned-outage rows alone miss multiple emergency overrides. Use region-specific execution_events for minute-level exposure.,high,official_tso + Ukrinform/Suspilne corroboration,https://t.me/s/ukrenergo?before=2921,Primary source is Ukrenergo's next-day operational recap. Corroboration: https://www.ukrinform.ua/rubric-economy/3871594-ukraina-u-vivtorok-zalucala-avarijnu-dopomogu-dla-energosistemi.html ; https://suspilne.media/761517-ukrenergo-v-energosistemi-deficit-diut-grafiki-vidklucen/,Day-level planned-outage rows alone miss multiple emergency overrides. Use region-specific execution_events for minute-level exposure.【置信度：high】,emergency_dispatch,mixed_exact,TSO,other,secondary,3,v3.0
